country,best_arima,mse,mape,corr,minmax
Australia,"(4, 0, 0)",292958977196.8335,0.11169605854527404,0.9445383626800853,0.11084747482730806
Austria,"(5, 0, 1)",188441845.60634473,0.15656740836723915,0.6512774919191908,0.12963780162137306
Belarus,"(1, 0, 0)",21691674.533852264,0.43658715668622117,0.7365114168088044,0.36316781727617786
Belgium,"(5, 0, 2)",792214108.5177282,0.08518141541809374,0.6615960334464408,0.07940862787743241
Bulgaria,"(4, 0, 0)",2995301346.0716443,0.1167485508838383,0.7039491695580242,0.113990337597495
Canada,"(4, 0, 2)",20366774474.97245,0.08029660972448266,0.8967282744887434,0.07226710523054003
Chile,"(4, 0, 1)",105980.28648895536,0.27403100048258344,0.9323665361457155,0.27122022454947436
"China, Hong Kong SAR","(2, 0, 0)",73.86094119912164,3.5161958834765645,0.1096946819768394,0.7542902297772436
"China, mainland","(1, 0, 0)",123646551.72277874,8.534696332596983,0.785104373890779,0.5645203943722923
Croatia,"(1, 0, 0)",67181375.60119718,0.3312452401818859,0.6894540101316906,0.33088975969838696
Czechia,"(2, 0, 2)",1894544651.146949,0.12431008768594914,0.8933525833087479,0.1231157964380809
Ecuador,"(1, 0, 0)",32131.82272742763,0.6001112216053313,0.8626462373887098,0.2891052960870242
Estonia,"(1, 0, 0)",1065615170.1859308,0.16823299458594604,0.9537334057545834,0.16481225169379243
Ethiopia,"(2, 0, 0)",207.32913394672036,1.349560025845462,0.9435977937815964,0.49485911316598374
France,"(4, 0, 0)",173997989235.36096,0.05000291083918879,0.7865930389042899,0.04984104900336439
Germany,"(6, 0, 0)",73278569639.0964,0.1094291735350842,0.6674341719673844,0.10380177009192537
Greece,"(3, 0, 0)",5870071.11472672,0.5202287020380737,0.8062143762644698,0.29617702408095625
Guatemala,"(3, 0, 1)",0.3794860556652442,0.08520165166629362,0.8741892188697512,0.07901639384292714
Hungary,"(4, 0, 0)",6739904367.554319,0.11965356580850323,0.8955761152519565,0.11645385515616202
India,"(2, 0, 0)",8250075359.816899,0.6971838530766973,0.8105601435082055,0.6107941566163149
Italy,"(1, 0, 0)",15818581.75019785,0.2645056977903884,0.28604869206214406,0.2212999920409474
Kazakhstan,"(3, 0, 1)",10586034115.844858,0.22927070446437328,0.8356361489401419,0.20595325772303097
Kenya,"(1, 0, 0)",1404716.288564712,0.3910477724966779,0.31898509913056877,0.33715103529115664
Latvia,"(1, 0, 0)",527476582.65076256,0.12808320570531903,0.6419633202891714,0.12101466178206921
Lithuania,"(1, 0, 0)",2632231821.6353917,0.1932629406258786,0.4794362178388604,0.17421870049702015
Luxembourg,"(2, 0, 0)",2639978.759678346,0.09208157717071884,0.8897187472304675,0.08806976891955054
Malaysia,"(2, 0, 1)",3472.939539080923,0.5445490948752556,0.8280796652587601,0.46723164757409696
Norway,"(5, 0, 0)",3840.256729694183,0.11965845749209938,0.17467661876289453,0.11755652986992338
Oman,"(4, 0, 2)",124489.48392872236,1.9971171064755038,0.4574221614575983,0.5496538174610572
Pakistan,"(2, 0, 0)",236971.82575121164,0.9698211827194851,0.9180623076314675,0.3107504499591526
Peru,"(1, 0, 0)",3244.221776846811,0.6687314855168299,0.35835093145477553,0.3264769527114916
Poland,"(2, 0, 0)",1585341735.263729,0.2338628091198657,0.8961960733699897,0.22756054542287418
Portugal,"(1, 0, 1)",52405299.845321104,0.3201208623721796,0.5549309337038804,0.2684918386119429
Republic of Korea,"(4, 0, 0)",630.3330267248003,0.2573701776171751,0.7071067343938751,0.256052405362561
Republic of Moldova,"(1, 0, 0)",705079122.8726532,0.23454922712709955,0.3776937751230643,0.20090562007337753
Romania,"(1, 0, 0)",30968441190.316208,0.16580413910928654,0.9625174991353551,0.16580413910928649
Russian Federation,"(2, 0, 0)",215720658764.41486,0.1389852554128295,0.9174539793353547,0.13704987902274213
Singapore,"(3, 0, 0)",1414.0527063609745,0.2294317388625224,0.33674765130634604,0.2001135678528787
Slovakia,"(5, 0, 0)",635293026.8273187,0.1518977699103289,0.8602623942808525,0.14495085549470976
Slovenia,"(4, 0, 2)",6571433.508183004,0.2936100232128588,0.8436578422370125,0.28693810350837656
South Africa,"(1, 0, 0)",2396704.86549382,6.00913613731886,0.45634346499529954,0.8436051393245181
Spain,"(2, 0, 2)",3619410027.1937704,0.5124428552940937,0.9826061011139408,0.3213379415277686
Thailand,"(4, 0, 0)",5763.2433397170025,1.9070673378820642,0.4102960922180543,0.9060740448793401
Turkey,"(3, 0, 2)",5085441170.4654045,4.491729969796069,0.8619732354010406,0.5130658388086775
Ukraine,"(2, 0, 0)",571974488523.8232,0.17760669583825678,0.6897462736586262,0.16183623185609963
United Kingdom,"(0, 0, 2)",18490944483.629192,0.11958227573471435,0.9115638735387868,0.1031683041342002
United States of America,"(2, 0, 0)",7664163501.800808,0.3160020336173118,0.8371782491389456,0.22624254624818252
Uruguay,"(3, 0, 2)",176367973.23230278,135.3649076873126,0.7956720840574206,0.3173828713481428
