country,best_arima,mse,mape,corr,minmax
Argentina,"(1, 0, 2)",2085936142533.1406,0.07674779558110033,0.8913446170578537,0.0757034396167463
Australia,"(1, 0, 2)",151360702.74600592,0.16177437433836903,0.9267246720142146,0.15790693634158393
Barbados,"(1, 0, 0)",7.94418895439991,0.5488884299879885,0.6620166856697266,0.33556270949047606
Belgium,"(1, 0, 0)",3222153301.5691414,0.13979852633356282,0.5058813520640717,0.12175505899698713
Benin,"(3, 0, 0)",22559900.943054214,25.007965612653745,0.6620105642639158,18.569113421984973
Bolivia (Plurinational State of),"(1, 0, 0)",52421872.878086075,0.20953850976150115,0.8433457309702207,0.19818310404402995
Botswana,"(1, 0, 0)",7908.391353774132,0.530352394172305,0.6075594505156209,0.29717460858135514
Brazil,"(3, 0, 0)",8562122757121.288,0.12669341513367693,0.9318807352458259,0.12372701818172471
Bulgaria,"(1, 0, 0)",66861408395.55949,0.23966615760615356,0.8985218353254469,0.23194575111043636
Burkina Faso,"(2, 0, 0)",60952662.483255476,0.26592102038292265,0.938472416788436,0.26590132843647163
Cameroon,"(1, 0, 0)",174642.83157514216,9.411139296513571,0.3149528106093202,0.5486817806665398
Canada,"(2, 0, 0)",28280807592.294388,0.14385937014280123,0.9477364689183718,0.14315625614439764
Chile,"(1, 0, 2)",94426451.31313077,0.10850577198782917,0.8930774072141389,0.09611088940422463
"China, Taiwan Province of","(1, 0, 1)",831131.2450442197,3.300801230816573,0.7142748463224478,0.5878647830131514
"China, mainland","(1, 0, 2)",1244905000984.7214,8.602260338171911,0.8485954888485149,0.6047892639066512
Colombia,"(1, 0, 0)",260985.7202995403,0.2150018331000282,0.7522648826931884,0.19492805955705195
Costa Rica,"(1, 0, 0)",22450.38976729916,1.791979337867639,0.6912052414149745,0.5892608347895333
Croatia,"(4, 0, 0)",3042535316.5453916,0.2334671264144106,0.9309215606187357,0.22044553396197764
Czechia,"(1, 0, 0)",1850788569.764325,0.11350611523182927,0.6861337605704401,0.1057742939820634
Côte d'Ivoire,"(1, 0, 0)",60038508.822694354,0.3109876282761426,0.7426230356085733,0.30068507636303976
Denmark,"(1, 0, 0)",925126759.4383881,0.40211640261967635,0.8011221160583013,0.3667171960270632
Ecuador,"(4, 0, 1)",12867480.256542398,3.505199075951797,0.9195921711811752,0.4723899219110339
Egypt,"(0, 0, 2)",40451336.69888369,0.514205746929964,0.7504240325179516,0.38925977611993856
El Salvador,"(0, 0, 2)",1600798.035373847,0.34179341571088223,0.7445038411241311,0.3073218982409768
Estonia,"(0, 0, 2)",512950.612205245,0.4989953748840621,0.6742163897944118,0.44421185318917766
Finland,"(1, 0, 0)",1.0076943852345286,0.7463323868884991,0.8109996650348364,0.4039597240837137
France,"(1, 0, 1)",77623117667.87318,0.04036374941968331,0.5988567355804771,0.039123437736515054
Georgia,"(1, 0, 0)",54814402.03571305,0.46276854956525937,0.6137046622070373,0.33903554232060906
Germany,"(6, 0, 0)",4003655914.482776,0.06618449354509386,0.9388990564863648,0.06318116623823633
Greece,"(1, 0, 0)",524573652.31924915,0.643771849670672,0.5682641865854989,0.3268902203730305
Guatemala,"(2, 0, 1)",2960645.3741569766,0.17681414230263914,0.7522081445483385,0.12355820442678922
Honduras,"(1, 0, 0)",392075.6513965943,1.458473128618478,-0.017728755515884244,0.37251710629736623
Hungary,"(1, 0, 0)",130318691271.41005,0.08393269135217218,0.6545281041655293,0.07970033038711455
India,"(1, 0, 0)",621528258241.363,0.37547611878214304,0.7036126771949633,0.22748057648204612
Ireland,"(1, 0, 0)",12306233.024684764,0.2363424984817695,0.3999220474282899,0.20018514964715461
Israel,"(1, 0, 0)",103027998.23567261,0.38454726639143666,0.8036992691306166,0.3329260115154694
Italy,"(1, 0, 1)",293678730.3465148,0.17324715245991631,0.7265018199603034,0.12765338422721628
Jordan,"(1, 0, 0)",45695468.23909363,0.2845135904165619,0.7422167095928262,0.27347395823985055
Kazakhstan,"(5, 0, 1)",4714874.811003641,0.22463017052725417,0.9837396560948665,0.20517968912017637
