country,best_arima,mse,mape,corr,minmax
Argentina,"(1, 0, 0)",1173427008549.63,0.10285497220350774,0.30221970933673886,0.09503300424521144
Australia,"(0, 0, 2)",585032.1928344476,0.14226439574340785,0.697352283977022,0.13452212331121216
Austria,"(5, 0, 0)",34520360.08254355,0.09767705008529724,0.8016566967664024,0.09525515393692274
Belgium,"(1, 0, 0)",776172325.852178,0.14560881808517773,0.6200131866654578,0.1262909861050856
Brazil,"(1, 0, 0)",20637116464733.098,0.09367959050830081,0.9867771289320421,0.09367959050830088
Canada,"(1, 0, 0)",103788958750.83374,0.10301496177175008,0.9951980371653796,0.10301496177175018
Chile,"(1, 0, 0)",6489460.124940429,0.3198496800569129,0.6567642400445451,0.2865040989371629
"China, Hong Kong SAR","(1, 0, 0)",263451.4385584482,0.03741058365158973,0.5459812214278675,0.03570104401664054
"China, Taiwan Province of","(1, 0, 0)",1542.983009515179,0.355010033482215,0.44674513419974676,0.3169421663771589
Colombia,"(0, 0, 2)",2759.8303089225215,0.4533297756032045,0.9186925587453316,0.2478688361007313
Croatia,"(1, 0, 0)",675647743.6008892,0.2668049861514417,0.9859278380369337,0.26680498615144166
Czechia,"(1, 0, 0)",1555752.860868502,0.29712506943879563,0.922172512068733,0.28028279879233764
Denmark,"(1, 0, 2)",57895.350145197204,0.47574211281099227,0.965065522049479,0.2978966035775157
Ecuador,"(1, 0, 0)",1559935.7507275513,148.93418444976416,0.7996630308384313,0.886501518648897
Egypt,"(0, 0, 1)",14967721.345296953,1.5782160630198758,0.671774023060187,0.5908006863395967
France,"(3, 0, 0)",103044199.83975798,0.16857391195091095,0.9274241537533175,0.16778649823936143
Germany,"(6, 0, 1)",100558074.72114874,0.13468805889448365,0.9677325148342535,0.1311884745467088
Guatemala,"(4, 0, 0)",30977.34640483542,2.303193452492398,0.653382966216602,0.4573748650306151
Honduras,"(4, 0, 0)",697.3113581552396,9.145557418501957,0.8262237633275356,0.7850123088229557
Hungary,"(5, 0, 0)",83382299.17968598,0.22536798966069516,0.9478790606312727,0.2245311308157858
India,"(3, 0, 0)",1407570792.6277542,0.2683461520255543,0.9359945742628161,0.26730947050286247
Indonesia,"(0, 0, 2)",26438258.762066983,0.792702212930054,0.6835057479390272,0.3842529010782082
Iran (Islamic Republic of),"(1, 0, 0)",109529.72216149124,4.361225860630445,0.9558032700243201,0.3546338105304305
Ireland,"(0, 0, 1)",693682.9342765762,0.6269449071276706,0.9908307437889727,0.3509365203840157
Italy,"(4, 0, 0)",159935638.6416072,0.20384670828305207,0.8328297023712888,0.17938053006448662
Japan,"(1, 0, 0)",13859.272990667845,1.4518669744098487,0.6151382203041986,0.29490254282532036
Kazakhstan,"(1, 0, 0)",13555745.345158733,0.25234578992353307,0.8918572884481166,0.24300103514545535
Malawi,"(1, 0, 0)",23094959.478514023,0.30705706311138725,0.823514689242409,0.3060014003436565
Malaysia,"(2, 0, 0)",47831378.843438886,0.12229946857818463,0.6126665722376017,0.12084511359756744
Mexico,"(1, 0, 0)",4976.404900724155,0.4145768699624438,0.577930672521075,0.2528461454938691
Netherlands,"(4, 0, 2)",13754999125.764854,0.07970385982140658,0.6579557943322655,0.07544149424464897
Nicaragua,"(6, 0, 0)",4673.596630131778,0.19915678131217296,0.8294316243305232,0.15989131610564955
Paraguay,"(3, 0, 0)",82461126567.65784,0.05613063935390731,0.9266254825202656,0.055588435093395394
Peru,"(1, 0, 0)",378.2124782297274,0.3107207369315897,0.5117057046522626,0.257009097580038
Portugal,"(0, 0, 2)",14206041.741959205,0.2822419413154955,0.8523778215424246,0.21104242042553434
Republic of Korea,"(0, 0, 2)",26669.709823437235,0.1937509609061711,0.7832845879465107,0.1761178961562524
Republic of Moldova,"(1, 0, 0)",63976744.618429065,0.2358273639694318,0.6075272643812155,0.21298655693978463
Romania,"(6, 0, 1)",499199945.3396473,0.2699967806600458,0.9086126959928356,0.25950974675056093
Russian Federation,"(1, 0, 0)",5463344470.945934,0.6293237802659083,0.9916504818686352,0.45152971086238647
Slovakia,"(1, 0, 0)",51869237.463376954,0.3235147663694458,0.9851589407027678,0.32351476636944587
Slovenia,"(1, 0, 0)",4172816816.3894424,0.44918715944424,0.6913440919324246,0.33403093408243034
South Africa,"(1, 0, 0)",1410980625.0018222,1.1453514267117157,0.6131983591367993,0.4368262487101361
Spain,"(1, 0, 0)",34987312.92085204,0.2503338516961407,0.9277356333594977,0.24513168664776042
Sri Lanka,"(1, 0, 0)",84428.25568000866,2.4726818100396475,0.6201189768848825,0.41084273024111795
