year,Argentina,Australia,Austria,Barbados,Belarus,Belgium,Brazil,Bulgaria,Canada,Chile,"China, Hong Kong SAR","China, Taiwan Province of","China, mainland",Croatia,Cyprus,Czechia,Denmark,Egypt,Estonia,Finland,France,Georgia,Germany,Greece,Guatemala,Hungary,India,Indonesia,Ireland,Israel,Italy,Kazakhstan,Kenya,Latvia,Lebanon,Lithuania,Luxembourg,Malaysia,Mexico,Morocco,Netherlands,New Zealand,North Macedonia,Norway,Oman,Pakistan,Paraguay,Peru,Poland,Portugal,Republic of Moldova,Romania,Russian Federation,Senegal,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Syrian Arab Republic,Thailand,Trinidad and Tobago,Turkey,Uganda,Ukraine,United Kingdom,United Republic of Tanzania,United States of America,Uruguay,Yemen,Zambia,Zimbabwe
1986-01-01,374614.0,1837595.0,32330.0,1.0,0.0,0.0,0.0,41970.0,2030112.0,10.0,1210.0,0.0,0.0,0.0,2.0,0.0,49349.0,0.0,0.0,5019.0,2119261.0,0.0,0.0,117762.0,8.0,165692.0,28102.0,0.0,18523.0,7.0,46793.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,21221.0,1516.0,0.0,1.0,627.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,673.0,0.0,0.0,0.0,33964.0,0.0,47012.0,30.0,717.0,0.0,0.0,1836.0,0.0,0.0,539790.0,0.0,2996911.0,0.0,0.0,0.0,0.0
1987-01-01,351003.0,1369375.0,40372.0,0.0,0.0,0.0,0.0,0.0,2409105.0,2421.0,0.0,3.0,678.0,0.0,0.0,0.0,53879.0,0.0,0.0,10491.0,2042804.0,0.0,0.0,138371.0,23.0,104527.0,27246.0,0.0,19974.0,396.0,18458.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,3414.0,0.0,23041.0,54.0,0.0,250.0,327.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,2070.0,0.0,0.0,0.0,131233.0,0.0,42476.0,8.0,5107.0,0.0,0.0,28298.0,0.0,0.0,436869.0,0.0,3024544.0,0.0,0.0,0.0,8.0
1988-01-01,355226.0,1066732.0,78313.0,0.0,0.0,0.0,0.0,63101.0,3596008.0,18.0,0.0,0.0,885.0,0.0,0.0,0.0,61174.0,0.0,0.0,438.0,2529256.0,0.0,0.0,139533.0,0.0,184737.0,1980.0,0.0,11208.0,0.0,136277.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,22786.0,1208.0,84422.0,400.0,0.0,1269.0,344.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2849.0,0.0,0.0,0.0,45754.0,21.0,30065.0,4.0,2771.0,0.0,587.0,173522.0,0.0,0.0,246768.0,0.0,4858495.0,0.0,0.0,0.0,0.0
1989-01-01,657540.0,1382707.0,79656.0,0.0,0.0,0.0,0.0,0.0,2173767.0,25.0,0.0,0.0,239.0,0.0,0.0,0.0,60766.0,0.0,0.0,8460.0,2506518.0,0.0,0.0,316500.0,0.0,0.0,1284.0,0.0,13855.0,76.0,194925.0,0.0,0.0,0.0,0.0,0.0,0.0,439.0,32314.0,0.0,51024.0,400.0,0.0,29.0,331.0,0.0,1378.0,0.0,0.0,0.0,0.0,36195.0,0.0,0.0,329.0,0.0,0.0,0.0,51324.0,0.0,31957.0,4.0,4770.0,1.0,159.0,67682.0,0.0,0.0,462332.0,0.0,5905543.0,24194.0,0.0,0.0,0.0
1990-01-01,870936.0,1664054.0,53462.0,291.0,0.0,0.0,0.0,0.0,2847737.0,356.0,157.0,0.0,559.0,0.0,7.0,0.0,178570.0,0.0,0.0,3401.0,2984029.0,0.0,0.0,156096.0,0.0,0.0,17435.0,0.0,21573.0,0.0,29538.0,0.0,0.0,0.0,0.0,0.0,0.0,703.0,329.0,0.0,368930.0,173.0,0.0,21.0,4741.0,0.0,19128.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,546.0,0.0,0.0,0.0,59808.0,0.0,76295.0,1.0,0.0,0.0,68.0,4382.0,0.0,0.0,746334.0,0.0,3866314.0,22861.0,0.0,0.0,0.0
1991-01-01,478739.0,1219716.0,25093.0,1.0,0.0,0.0,0.0,0.0,3314685.0,10.0,461.0,0.0,265.0,0.0,0.0,0.0,210991.0,0.0,0.0,3248.0,2793086.0,0.0,463275.0,310619.0,0.0,92167.0,59197.0,15.0,17850.0,0.0,41641.0,0.0,45.0,0.0,0.0,0.0,0.0,981.0,9.0,631.0,85298.0,12.0,0.0,0.0,4159.0,0.0,0.0,0.0,0.0,6080.0,0.0,11820.0,0.0,0.0,3583.0,0.0,0.0,0.0,74494.0,0.0,55871.0,0.0,0.0,0.0,0.0,204270.0,0.0,0.0,757584.0,0.0,3331631.0,11636.0,0.0,0.0,236.0
1992-01-01,715787.0,1103167.0,35327.0,0.0,0.0,0.0,0.0,0.0,3025174.0,308.0,559.0,2.0,296.0,8781.0,0.0,0.0,140943.0,0.0,0.0,22942.0,3116076.0,0.0,730206.0,262344.0,4.0,49296.0,3881.0,0.0,22729.0,0.0,31902.0,0.0,8455.0,0.0,0.0,0.0,0.0,484.0,0.0,11.0,80881.0,10.0,0.0,1970.0,5344.0,0.0,0.0,4.0,57837.0,6926.0,0.0,0.0,0.0,0.0,2243.0,0.0,9.0,707.0,92053.0,0.0,30283.0,16.0,6098.0,0.0,116.0,271292.0,0.0,0.0,721386.0,0.0,4171812.0,0.0,0.0,0.0,0.0
1993-01-01,709577.0,1505347.0,37097.0,93.0,0.0,0.0,0.0,0.0,2226565.0,62.0,7.0,0.0,8238.0,2491.0,2.0,16112.0,173295.0,8.0,0.0,8074.0,3069126.0,0.0,617279.0,156496.0,3.0,14218.0,66.0,1.0,12450.0,0.0,68024.0,0.0,5484.0,0.0,0.0,0.0,0.0,797.0,0.0,0.0,135768.0,18.0,0.0,2339.0,6085.0,892.0,0.0,0.0,294.0,2422.0,0.0,0.0,0.0,0.0,479.0,0.0,0.0,0.0,72735.0,0.0,5026.0,18.0,0.0,9.0,13.0,75493.0,0.0,0.0,637807.0,0.0,4657506.0,0.0,0.0,23.0,0.0
1994-01-01,669978.0,1021.0,38193.0,121.0,0.0,0.0,1.0,0.0,2571176.0,44.0,124.0,0.0,10056.0,5428.0,2.0,3603.0,135614.0,0.0,0.0,5383.0,1983938.0,0.0,830574.0,171216.0,0.0,81207.0,13549.0,0.0,4445.0,0.0,108553.0,0.0,0.0,2.0,0.0,5951.0,0.0,814.0,14671.0,2917.0,60418.0,7.0,0.0,1369.0,6914.0,0.0,15109.0,2.0,0.0,1762.0,39.0,32.0,0.0,37.0,1035.0,3049.0,6.0,222.0,75921.0,0.0,20630.0,122.0,0.0,2.0,0.0,88468.0,16.0,0.0,525359.0,0.0,4061200.0,0.0,0.0,0.0,509.0
1995-01-01,1005376.0,1309694.0,53914.0,156.0,0.0,0.0,16.0,0.0,2947890.0,54.0,194.0,3.0,1555.0,32283.0,2.0,117305.0,217751.0,3.0,0.0,1642.0,2935819.0,0.0,679529.0,73779.0,1.0,333471.0,94742.0,0.0,3393.0,0.0,28366.0,0.0,0.0,4.0,0.0,0.0,0.0,739.0,72068.0,2179.0,45422.0,36.0,0.0,2.0,9728.0,494.0,19971.0,9.0,10336.0,4743.0,12705.0,101727.0,0.0,3.0,219.0,0.0,0.0,350.0,34600.0,0.0,10893.0,39.0,0.0,0.0,59.0,22671.0,268.0,0.0,475060.0,0.0,5457784.0,13126.0,0.0,0.0,8415.0
