year,Argentina,Australia,Austria,Barbados,Belarus,Belgium,Brazil,Bulgaria,Canada,Chile,"China, Hong Kong SAR","China, Taiwan Province of","China, mainland",Croatia,Cyprus,Czechia,Denmark,Egypt,Estonia,Ethiopia,Finland,France,Georgia,Germany,Greece,Guatemala,Hungary,India,Indonesia,Ireland,Israel,Italy,Kazakhstan,Kenya,Latvia,Lebanon,Lithuania,Luxembourg,Malaysia,Mexico,Morocco,Netherlands,New Zealand,North Macedonia,Norway,Oman,Pakistan,Paraguay,Peru,Poland,Portugal,Republic of Moldova,Romania,Russian Federation,Saudi Arabia,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Syrian Arab Republic,Thailand,Trinidad and Tobago,Turkey,Uganda,Ukraine,United Kingdom,United Republic of Tanzania,United States of America,Uruguay,Yemen,Zambia,Zimbabwe
1986-01-01,3797839.0,15833410.0,280176.0,3.0,0.0,0.0,0.0,299820.0,15878633.0,21.0,6813.0,0.0,0.0,0.0,7.0,0.0,398769.0,0.0,0.0,0.0,14735.0,13013127.0,0.0,0.0,525393.0,4.0,1499147.0,221780.0,0.0,99731.0,20.0,200425.0,0.0,0.0,0.0,0.0,0.0,0.0,719.0,0.0,0.0,95198.0,23824.0,0.0,1.0,2496.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,575137.0,5082.0,0.0,0.0,0.0,144343.0,0.0,458305.0,29.0,850.0,0.0,0.0,16214.0,0.0,0.0,3249642.0,0.0,24437978.0,0.0,0.0,0.0,1.0
1987-01-01,4192092.0,14718837.0,476207.0,1.0,0.0,0.0,0.0,271812.0,21920644.0,23749.0,0.0,5.0,5711.0,0.0,2.0,0.0,398869.0,0.0,0.0,0.0,55482.0,13381549.0,0.0,0.0,426249.0,5.0,1140332.0,253662.0,0.0,92396.0,1000.0,63133.0,0.0,0.0,0.0,0.0,0.0,0.0,979.0,23430.0,0.0,112239.0,275.0,0.0,1436.0,1220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1344334.0,18107.0,0.0,0.0,0.0,533059.0,0.0,629177.0,6.0,37074.0,0.0,0.0,296556.0,0.0,0.0,3637242.0,0.0,30435797.0,0.0,0.0,0.0,0.0
1988-01-01,3642579.0,8087692.0,799823.0,0.0,0.0,0.0,0.0,390769.0,19986518.0,83.0,0.0,0.0,6700.0,0.0,0.0,0.0,346077.0,0.0,0.0,0.0,667.0,13966858.0,0.0,0.0,541300.0,0.0,1602850.0,15600.0,0.0,52131.0,0.0,973908.0,0.0,0.0,0.0,0.0,0.0,0.0,1155.0,170182.0,2350.0,881429.0,3393.0,0.0,3096.0,1298.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,22207.0,0.0,0.0,0.0,153731.0,18.0,340438.0,4.0,7030.0,0.0,3505.0,1739493.0,0.0,0.0,1694316.0,0.0,40275216.0,0.0,0.0,0.0,0.0
1989-01-01,4322854.0,8508106.0,425824.0,0.0,0.0,0.0,0.0,0.0,11202955.0,98.0,0.0,0.0,1268.0,0.0,2.0,0.0,367553.0,0.0,0.0,0.0,64675.0,13785488.0,0.0,0.0,1319782.0,0.0,0.0,11780.0,0.0,69745.0,200.0,1151236.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.0,229750.0,0.0,309458.0,3393.0,0.0,33.0,1246.0,0.0,9750.0,0.0,0.0,0.0,0.0,198810.0,0.0,0.0,2028.0,0.0,0.0,0.0,186916.0,0.0,224321.0,4.0,11206.0,2.0,800.0,539525.0,0.0,0.0,2907822.0,0.0,36519094.0,165126.0,0.0,0.0,0.0
1990-01-01,5836659.0,11520813.0,423985.0,1500.0,0.0,0.0,0.0,0.0,17849160.0,1027.0,368.0,0.0,3152.0,0.0,520.0,0.0,1460053.0,0.0,0.0,0.0,13863.0,15868099.0,0.0,0.0,563260.0,0.0,0.0,139470.0,0.0,93077.0,0.0,135829.0,0.0,0.0,0.0,0.0,0.0,0.0,2710.0,2297.0,0.0,2371942.0,497.0,0.0,8.0,17538.0,0.0,181028.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2514.0,0.0,0.0,0.0,224760.0,0.0,725271.0,1.0,0.0,0.0,350.0,24972.0,0.0,0.0,4400675.0,0.0,27389380.0,163867.0,0.0,0.0,0.0
1991-01-01,5511124.0,11355339.0,329340.0,4.0,0.0,0.0,0.0,0.0,23260637.0,20.0,1158.0,0.0,1709.0,0.0,0.0,0.0,1516096.0,0.0,0.0,0.0,28475.0,17264662.0,0.0,2521788.0,1070463.0,0.0,924576.0,658250.0,25.0,79521.0,0.0,230368.0,0.0,65.0,0.0,0.0,0.0,0.0,6001.0,10.0,900.0,788588.0,50.0,0.0,0.0,15268.0,0.0,0.0,0.0,0.0,37595.0,0.0,120000.0,0.0,0.0,25845.0,0.0,0.0,0.0,336663.0,0.0,740279.0,1.0,0.0,0.0,0.0,2317278.0,0.0,0.0,4024325.0,0.0,30915668.0,149963.0,0.0,0.0,1011.0
1992-01-01,6071941.0,7136367.0,357142.0,0.0,0.0,0.0,0.0,0.0,18852237.0,765.0,2396.0,1.0,2735.0,76852.0,0.0,0.0,853196.0,0.0,0.0,0.0,186009.0,15998610.0,0.0,3570408.0,957389.0,0.0,432754.0,36749.0,0.0,96688.0,0.0,155693.0,0.0,52367.0,0.0,0.0,0.0,0.0,1696.0,0.0,12.0,587131.0,31.0,0.0,10691.0,19560.0,0.0,0.0,3.0,514996.0,25485.0,0.0,0.0,0.0,0.0,13600.0,0.0,20.0,0.0,355473.0,0.0,260029.0,15.0,34348.0,0.0,750.0,3136925.0,0.0,0.0,3535778.0,0.0,31182336.0,0.0,0.0,0.0,0.0
1993-01-01,5576529.0,10984315.0,294580.0,50.0,0.0,0.0,0.0,0.0,18115136.0,123.0,68.0,2.0,86874.0,9808.0,3.0,126314.0,1332167.0,40.0,0.0,0.0,53873.0,18139597.0,0.0,3789421.0,681043.0,0.0,93634.0,390.0,1.0,60361.0,0.0,334493.0,0.0,78127.0,0.0,0.0,0.0,0.0,2928.0,0.0,0.0,810217.0,32.0,0.0,11464.0,22601.0,5039.0,0.0,0.0,1139.0,13576.0,0.0,4.0,0.0,0.0,2677.0,0.0,0.0,0.0,375104.0,0.0,52163.0,19.0,0.0,11.0,100.0,648652.0,0.0,0.0,3862644.0,0.0,35595830.0,0.0,0.0,178.0,0.0
1994-01-01,5172295.0,4225.0,360451.0,50.0,0.0,0.0,2.0,0.0,21282321.0,78.0,143.0,0.0,107114.0,28312.0,3.0,28774.0,934654.0,0.0,0.0,0.0,54690.0,12503602.0,0.0,5524252.0,952735.0,0.0,758925.0,86628.0,1.0,24307.0,0.0,561637.0,0.0,0.0,20.0,0.0,68800.0,0.0,2493.0,88173.0,7350.0,309968.0,21.0,0.0,6177.0,25609.0,0.0,78440.0,2.0,0.0,9759.0,665.0,100.0,0.0,0.0,7272.0,27793.0,48.0,1135.0,350315.0,0.0,226086.0,140.0,0.0,8.0,0.0,980028.0,87.0,0.0,3430012.0,0.0,30570919.0,0.0,0.0,0.0,1577.0
1995-01-01,6913285.0,6892103.0,282681.0,704.0,0.0,0.0,45.0,0.0,16932810.0,88.0,600.0,4.0,16189.0,226856.0,2.0,1018677.0,1530179.0,4.0,0.0,0.0,9266.0,16208001.0,0.0,3628664.0,278294.0,12.0,2764542.0,523581.0,0.0,17314.0,0.0,113717.0,0.0,0.0,16.0,0.0,0.0,0.0,2400.0,431775.0,3250.0,206452.0,45.0,0.0,1.0,33281.0,2473.0,123640.0,7.0,60801.0,21353.0,110506.0,606110.0,0.0,0.0,936.0,0.0,0.0,0.0,115800.0,0.0,54204.0,36.0,0.0,0.0,300.0,232848.0,439.0,0.0,2616690.0,0.0,32417414.0,78820.0,0.0,0.0,86379.0
